TICKER,RSI,STOCH,SHARPE,TREYNOR,P/VL
KRC,29.8,92.68,0.59,92.74,1.25
KRED,16.42,90.06,1.88,66.03,1.33
KREF,30.01,79.23,0.53,98.37,2.88
KRG,92.68,61.33,1.48,83.55,2.4
KRKR,34.66,40.13,1.03,78.6,3.1
KRMD,66.87,80.29,1.16,87.6,2.7
KRNL,99.25,83.49,0.47,71.02,1.71
KRNT,45.42,57.28,1.42,16.61,2.55
KRNY,59.82,89.6,0.42,37.51,0.07
KRO,37.57,99.57,1.96,56.33,3.52
KRON,36.94,46.68,1.72,50.36,0.13
KROS,51.63,31.72,0.67,89.16,0.14
KRP,79.77,49.71,0.13,94.31,3.56
KRT,30.8,62.79,0.46,56.91,2.7
KRTX,40.55,59.44,0.56,39.83,3.16
KRUS,92.05,61.84,0.76,58.42,2.72
KRYS,36.81,61.91,1.12,87.15,0.93
KSHB,38.45,25,0.91,76.05,1.06
KSI,43.69,74.73,1.69,34.76,3.67
KSMT,44.33,46.78,1.88,50.28,3
KSPN,72.15,61.77,0.36,80.81,0.3
KSS,45.02,20.71,1.03,18.29,2.18
KSU,66.04,73.16,1.34,67.49,2.5
KT,65.23,62.72,0.03,37.9,0.87
KTB,62.38,33.69,0.46,67.16,0.2
KTCC,50.68,65.61,1.5,64.94,3.11
KTOS,21.86,78.24,0.04,24.16,2.31
KTRA,88.56,37,0.46,38.18,1.14
KTTA,12.56,54.96,1.54,32.18,2.02
KTYB,83.66,26.2,1.95,29.67,0.76
KUBTY,34.1,69.15,1.1,12.57,3
KUKE,12.77,45.53,1.83,99.13,1.91
KULR,24.28,61.17,0.7,59.85,2.85
KURA,25.28,82.08,0.17,43.93,3.77
KURI,19.02,41.37,1.99,50.46,0.85
KVHI,17.2,59.6,0.7,57.66,0.15
KVSA,85.93,41.13,0.58,80.83,3.65
KVSB,92.24,63.34,1.4,68.68,1.37
KVSC,12.87,45.42,1.29,13.48,1.36
KVSD,74.95,64.31,0.16,38.32,1.64
KW,85.07,40.35,1.68,79.68,1.81
KWAC,99.23,65.78,0.24,43.11,2.09
KWR,21.72,70.49,1.64,31.64,1.3
KXIN,31.7,93.97,1.37,89.15,3.6
KYMR,65.28,14.99,1.63,50.61,3.42
KYOCY,94.89,96.19,0.31,97.93,3.92
KZIA,15.68,21.34,1.15,78.25,0.73
KZR,61.19,42.75,0.84,43.2,2.42
L,69.5,60.63,0.56,70.79,2.57
LAAA,63.19,45.56,1.7,16.31,1.3
LAAB,88.52,96.67,1.16,90.23,2.07
LABP,73.49,87.62,1.15,66.28,1.09
LAC,71.43,34.33,0.79,32.68,1.98
LACQ,80.38,74.28,0.84,69.75,0.81
LAD,75.32,19.95,0.39,63.79,3.58
LADR,89.81,62.48,0.72,19.07,2.13
LAIX,91.27,79.36,1.11,44.61,3.05
LAKE,28.22,14.18,0.24,24.62,2.04
LAMR,91.77,63.42,1.32,95.18,1.58
LANC,35.17,42.24,0.06,77.42,0.66
LAND,21.13,52.34,0.25,50.18,1.57
LARK,97.72,87.99,0.06,53.54,3.51
LASR,28.16,36.14,0.25,74.05,0.96
LATN,68.59,72.87,1.9,61.78,3.56
LAUR,35.42,82.54,0.73,74.29,2.48
LAWS,16.81,56.49,1.69,37.04,0.97
LAZ,14.18,61.25,0.57,82.82,2.16
LAZR,58.52,38.86,0.39,16.74,3.32
LAZY,52.8,59.24,0.27,40.11,1.49
LB,30.3,99.1,1.29,49.17,1.85
LBAI,22.98,46.39,1.68,24.17,1.16
LBC,29.44,50.07,0.97,47.4,3.08
LBPH,98.2,51.65,1.77,78.27,2.48
LBPS,16.05,51.72,0.03,44.17,0.95
LBRDA,25.9,77.59,0.06,36.41,3.74
LBRDK,69.17,71.31,1.77,73.85,0
LBRT,34.69,16.94,1.12,93.26,0.08
LBTYA,38.7,55.15,0.33,37.56,3.02
LBTYB,88.88,71.22,1.92,65.28,3.46
LBTYK,20,26.74,1.43,44.21,0.17
LC,90.25,17.85,1.43,40.01,0.55
LCA,95.3,36.51,1.24,88.02,2.86
LCAA,82.01,67.15,0.36,97.85,2.17
LCAP,35.93,85.64,1.68,58.69,2.63
LCI,54.84,29.28,1.84,75.73,3.72
LCII,51.06,54.29,0.02,87.87,3.6
LCNB,29.4,43.15,0.76,62.71,1.31
LCP,64.14,99.47,1.88,21.97,1.1
LCTX,13.55,70.58,1.81,55.11,2.47
LCUT,71.29,48.64,0.12,17.36,3.11
LCW,26.12,16.7,0.61,60.77,0.96
LCY,81.28,85.45,1.46,96,0.76
LDHA,56.32,78.5,1.28,56.35,3.44
LDI,30.61,12.48,1.45,74.32,3.97
LDL,24.94,59.54,1.51,11.03,2.18
LDOS,57.24,60.62,0.63,62.04,1.13
LE,66.35,80.95,1.08,28.69,0.96
LEA,49.09,35.66,0.96,86.94,3.59
LEAF,44.41,78.23,1.63,85.84,2.31
LEAP,62,88.41,1.73,95.57,2.69
LEAT,30.95,45.08,0.07,32.37,3.8
LECO,80.74,98.18,1.86,86.97,3.01
LEDS,50.45,28.59,0.67,78.94,1.16
LEE,84.15,66.41,0.56,24.27,0.7
LEG,54.35,75.66,0.79,30.93,2.99
LEGA,35.77,31.22,1.69,27.42,0.21
LEGH,95.84,26.77,1.5,76.58,2.05
LEGN,64.03,62.77,0.28,29.93,2.28
LEGO,42.29,36.19,1.88,44.78,2.69
LEJU,85.31,57.52,1.29,13.97,3.76
LEN,36.45,47.76,0.98,91.57,2.42
LEN.B,43.81,17.23,0.84,96.79,2.72
LESL,30.29,72.28,0.9,50.14,0.57
LEU,41.42,44.96,0.58,76.59,1.13
LEV,10.99,70.63,1.6,80.6,0.66
LEVI,32.02,14.52,0.27,95.9,0.29
LEVL,22.99,79.51,1.11,40.7,2.41
LEXX,77.21,38.45,0.69,48.41,2.32
LFC,13.58,95.27,1.43,49.04,0.72
LFIN,91.32,33.76,0.86,80.43,3.44
LFMD,84.05,84.43,1.87,42.54,3.82
LFT,93.84,84.51,0.93,34.18,2.55
LFTA,20.79,55.12,1.95,36.02,2.37
LFTR,56.12,39.22,1.85,47,0.12
LFUS,58.09,14.29,1.55,12.34,2.73
LFVN,53.52,87.76,1.34,59.92,1.9
LGAC,75.8,23.52,0.83,65.03,2.51
LGF.A,92.03,73.83,0.34,64.21,0.61
LGF.B,49.09,50.1,1.19,41.64,3.77
LGHL,47.94,58.61,1.51,24.87,2.51
LGIH,74.28,61.43,0.81,15.55,0.81
LGL,96.09,21.87,0.76,10.7,1.16
LGND,78.82,53.15,0.32,85.65,0.22
LGO,14.13,23.34,1.89,17.2,3.2
LGV,36.87,91.63,0.14,90.69,3.74
LGVN,11.87,51.15,1.96,73.92,1.03
LH,79.67,42.84,1.52,22.15,0.73
LHAA,23.04,32.07,1.24,36.29,2.96
LHC,73.39,21.04,1.8,12.91,3.16
LHCA,28.78,94.4,1.83,72.07,0
LHCG,82.83,94.33,1.32,10.17,0.35
LHDX,50.45,95.3,1.15,48.76,0.65
LHIV,52.34,37.37,1.23,39.04,3.01
LHRT,65.28,87.32,1.74,11.09,1.39
LHX,10.13,14.09,0.61,24.87,3.7
LI,16.5,20.99,0.85,31.93,2.96
LIFE,82,95.78,1.76,53.68,3.64
LII,14.71,69.78,1.71,84.96,3.68
LIII,17.7,87.59,1.48,80.65,3.82
LILA,89.25,61.84,1.06,84.65,1.02
LILAK,50.59,24.55,1.25,76.77,3.88
LIN,48.18,84.78,1.82,47.47,1.97
LINC,18.52,55.59,1.83,25.37,3.78
LIND,44.27,20.77,1.99,19.23,1.34
LINX,39.69,30.21,1.66,31.56,1.82
LIQT,13.84,78.04,1.09,66.11,3.03
LITB,94.46,82.88,1.53,16.55,2.78
LITE,94.85,38.71,1.88,70.55,1.6
LITH,99.72,59.4,1.73,75.51,1.78
LITT,73.23,97.9,0.11,68.73,1.47
LIVE,60.93,89.09,0.99,18.51,2.72
LIVK,86.46,99.28,0.52,48.3,1.97
LIVN,65.51,30.69,1.48,95.33,2.34
LIVX,35.66,50.77,1.86,56.75,2.63
LIXT,94.06,64.57,0.84,80.38,3.29
LIZI,86.64,70.87,0.61,85.72,2.3
LJAQ,52.42,69.89,1.54,37.37,1.98
LJPC,84.77,83.81,1.42,69.82,2.27
LKCO,80.07,32.28,0.17,39.34,3.88
LKFN,15.93,97.75,0.23,70.31,2.46
LKNCY,13.97,61.62,0.86,55.25,2.7
LKQ,96.29,65.33,1.96,49.42,0.86
LKVA,25.99,90.6,0.65,18.1,1.38
LL,54.04,63.15,0.37,45.36,3.73
LLIT,97.28,19.58,0.87,35.85,1.08
LLNW,34.8,34.75,1.39,23.11,3.18
LLY,27.69,80.9,1.64,93.97,3.68
LMACA,37.99,56.08,1.93,70.58,0.94
LMAO,20.29,58.71,0.63,32.07,0.44
LMAT,36.8,24.88,1.3,53.9,1.23
LMB,42.61,23.67,0.9,54.07,2.84
LMDX,62.38,66.86,1.46,59.24,0.22
LMFA,34,96.76,1.03,52.36,2.51
LMND,92.75,86.46,0.38,75.92,3.76
LMNL,22,61.05,0.94,33.33,1.55
LMNR,91.21,57,1.07,37.4,1.03
LMNX,90.21,90.45,0.79,57.67,0.8
LMPX,73.58,31.4,1.67,94.52,2.39
LMRK,63.06,15.06,0.52,74.45,1.56
LMST,79.78,38.37,0.39,17.4,2.43
LMT,40.77,82.75,1.13,21.61,3.93
LNC,14.32,65.59,0.83,95.15,1.61
LND,83.24,63.22,0.04,73.89,3.63
LNDC,15.98,45.35,1.9,61.55,3.44
LNFA,69.14,57.34,1.48,15.24,0.3
LNG,47.99,89.75,1.31,19.82,0.3
LNN,11.41,85.86,0.94,41.57,0.81
LNSR,44.99,89.89,1.34,56.67,3.44
LNT,14.51,94.05,1.24,49.93,1.3
LNTH,64.05,74.09,0.74,39.07,1.83
LNVGY,48.91,43.4,1.62,55.27,0.29
LOAN,84.11,12.37,1.15,68.72,2.53
LOB,34.38,54.08,1.14,48.17,3.81
LOCC,98.49,16.13,0.91,80.75,3.38
LOCO,13.93,40.17,0.94,55.13,3.55
LODE,26.55,20.81,1.08,25.97,2.7
LOGC,49.37,15.41,0.95,88.14,1.38
LOGI,55.17,36.87,0.74,39.77,2.91
LOHA,45.93,17.76,1.67,26.07,2.1
LOKB,50.35,91.68,1.47,91.03,1.83
LOKM,88.19,79.69,1.14,46.96,1.9
LOMA,62.29,30.62,1.31,87.89,0.22
LONCF,97.76,20.23,0.34,50.3,2.01
LOOP,80.85,69.07,0.43,46.4,3.72
LOPE,93.67,99.85,1.73,18.78,1.04
LORL,60.54,80.72,1.55,13.34,3.89
LOTZ,45.24,37.34,0.11,69.38,0.53
LOV,61.17,81.39,1.5,33.9,2.74
LOVE,30.09,99.57,0.97,71.84,1.27
LOW,10.46,37.9,1.9,86.22,2.36
LPC,36.71,16.22,1.02,95.66,3.39
LPCN,93.8,57.06,0.26,67.23,1.18
LPG,92.51,65.86,1.16,33.86,2.55
LPI,13.34,21.11,1.49,69.5,1.15
LPL,64.61,33.27,1.71,35.43,3.08
LPLA,70.13,36.89,0.25,67.92,0.98
LPRO,43.44,92.8,0.29,24.64,2.68
LPSN,36.6,79.16,1.98,96.05,3.88
LPTH,71.64,76.49,2,69.54,1.45
LPTX,44.61,93.27,0.71,63.2,1.45
LPX,58.06,34.68,0.63,12.61,0.39
LQDA,83.59,92.88,1.95,90.48,2.36
LQDT,99.87,53.5,0.86,24.42,3.54
LRCX,99.79,68.94,0.97,50.61,0.76
LRIS,55.45,83.23,0.83,63.01,0.51
LRMR,14.75,23.14,0.74,15.65,1.65
LRN,42.06,38.89,0.09,52.73,0.5
LSAQ,76.27,82.07,1.92,20.99,1.27
LSBK,53.85,79.77,0.03,61.3,0.98
LSCC,60.41,59.12,0.65,27.02,0.5
LSCG,53.64,93.04,0.03,59.44,1.79
LSEA,40.22,14.33,0.15,17.31,2.89
LSF,35.63,24.41,0.32,32.56,2.68
LSGOF,25.49,98.24,1.47,78.11,2.99
LSI,41.28,70.61,0.67,37.47,0.56
LSPD,73.73,25.16,0.66,39.99,0.22
LSPR,66.58,73.92,1.71,41.65,2.11
LSTR,63.85,86.6,1.44,62.41,3.67
LSYN,38.05,82.1,0.86,99.69,1.31
LTBR,46.29,69.34,0,21.04,2.83
LTC,30.43,77.5,1.92,65.92,1.01
LTGHY,88.25,47.48,0.43,57.57,0.97
LTHM,32.94,53.14,1.76,64.48,1.38
LTMAQ,40.07,84.62,1.34,15.72,0.23
LTRE,89.53,15.62,0.03,96.73,1.15
LTRN,52.18,17.74,1.6,72.62,3.9
LTRPA,48.56,58.6,1.55,93.99,2.4
LTRPB,82.22,77.5,1.3,89.69,0.09
LTRX,88.35,34.07,0.55,13.71,2.25
LTVA,14.65,68.53,1.82,45.26,1.15
LU,16.49,33.46,1.96,24.88,3.32
LUB,95.87,64.97,1.51,92.83,2.9
LUKOY,94.57,40.09,0,38.84,3.12
LULU,59.27,79.48,1.52,17.54,2.15
LUMN,81.69,57,0.52,64.94,1.17
LUMO,22.56,56.6,1.16,28.66,0.54
LUNA,14.59,83.76,1.62,73.92,0.98
LUNG,70.67,60.93,1.77,21.1,2.84
LUNMF,56.63,85.12,1.5,58.35,2.19
LUV,60.91,30.76,0.92,31.07,1.29
LUVU,23.6,95.98,1,87.18,1.82
LUXA,57.19,38.32,1.94,29.29,0.91
LVMUY,78.93,83.5,0.32,65.08,0
LVRA,78.65,42.74,1.45,78.04,1.12
LVS,46.51,20.51,0.01,58.81,3.48
LVTX,73.7,50.29,0.85,14.92,3.75
LW,67.49,53.71,1.54,53.59,2.51
LWAC,90.57,74.01,0.43,46.86,3.04
LWAY,83.65,56.49,0.41,79.11,2.05
LWLG,73.44,80.28,0.69,45.31,0.98
LX,58.85,10.17,0.4,55.79,0.41
LXEH,21.91,40.31,1.29,37.47,3.34
LXFR,76.14,48.96,1.27,99.26,3.59
LXP,12.33,57.93,1.92,81.03,0
LXRX,83.58,13.15,0.38,30.18,1.81
LXU,95.69,60.66,0.54,17.02,0.62
LYB,13.32,46.22,1.62,89.88,0.34
LYFT,26.68,81.15,0.54,36.63,0.23
LYG,35.17,43.19,0.83,59.59,0.17
LYL,86.59,49.78,1.96,83.3,0.35
LYRA,21.47,44.16,1.23,61.64,1.62
LYT,63.28,59.44,0.59,24.45,1.95
LYTS,60.34,34.87,0.95,56.29,0.28
LYV,80.35,80,0.2,69.53,2.6
LZB,96.38,38.94,0.74,55.55,0.67
M,56.48,72.49,0.93,96.89,1.96
MA,40.67,23.52,1.99,85.53,3.55
MAA,65.2,40.88,0.68,10.59,3.72
MAAC,28.88,11.41,1.73,18.23,2.99
MAC,23.81,18.9,1.62,27.03,1.48
MACA,50.99,70.16,1.71,75.41,2.79
MACC,61.18,67.58,0.04,62.56,0.4
MACK,51.94,58.56,1.55,50.24,3.97
MACQ,21.36,43.64,0.65,96.56,0.79
MACS,76.3,67.82,0.69,75.26,2.94
MACU,84.08,64.7,0.78,83.62,2.84
MAG,94.81,50.43,0.35,90.43,0
MAGE,69.21,95.02,0.28,22.13,1.54
MAGS,18.6,81.42,1.46,42.46,1.45
MAIN,60.28,78.13,0.49,61.24,3.08
MAN,61.74,79.61,1.74,39.69,3.16
MANH,33.36,98.4,0.11,19.09,0.59
MANT,37.81,46.67,1.11,71.33,1.03
MANU,71.65,35.49,1.04,93.07,2.29
MAQC,44.38,37.04,0.09,70.92,0.37
MAR,15.69,98.4,0.4,81.67,3.39
MARA,13.34,14.09,0.03,92.07,3.58
MARK,14.74,86.01,1.01,92.29,1.88
MARPS,46.46,15.95,1.55,14.28,2.23
MARUY,31.91,91.45,1.24,75.28,1.84
MAS,93.81,67.05,0.84,10.96,1.39
MASI,76.52,92.33,1.92,86.63,1.98
MASS,72.17,69.99,1.17,63.56,2.21
MAT,70.35,14.17,1.17,60.47,1.13
MATW,42.01,68.81,1.62,85.56,3.55
MATX,45.51,87.6,1.05,52.06,3.7
MAX,25.98,33.45,1.25,99.66,0.95
MAXN,54.45,15.71,0.32,67.39,3.52
MAXR,87.78,73.39,0.15,84.43,3.72
MAYS,67.01,52.39,1.27,80.6,3.92
MBAC,12.32,90.55,0.48,15.36,0.79
MBCN,41.17,71.14,1.13,87.9,1.2
MBI,25.76,94.53,1.16,55.14,3.36
MBII,75.38,13.38,0.68,59.6,1.11
MBIN,73.82,33.8,1.07,78.82,1.59
MBIO,52.32,10.28,0.49,98.88,1.88
MBOT,57.27,94.9,1.91,71.26,3.12
MBRX,64.57,74.8,1.14,51.04,3.75
MBT,49.71,28.43,0.17,90.47,3.66
MBTC,36.43,60.42,1.37,56.2,1.99
MBUU,54.9,33.37,1.52,84.55,0.96
MBWM,54.7,73.42,1.19,12.03,1.31
MC,84.94,11.02,0.12,72.34,0.28
MCAD,94.79,24.02,0.11,93.32,0.41
MCAE,19,17.73,1.19,83.22,0.78
MCB,66.72,62.16,0.17,93.32,1.56
MCBC,30.64,25.61,0.11,35.88,1.98
MCBS,67.29,56.82,1.9,77.66,1.23
MCD,62.95,93.06,1.8,55.16,1.34
MCF,98.6,25.12,1.24,74.26,3.16
MCFE,44.89,81.56,1.14,67.35,3.52
MCFT,96.53,94.03,1.08,88.78,2.48
MCHP,45.71,17.68,0.41,55.15,1.68
MCHX,59.37,63.75,1.31,41.36,3.6
MCK,56.44,62.43,0.24,20.84,3.96
MCMJ,81.22,75.24,1.03,79.38,3.47
MCO,14.45,67.75,1.18,41.39,3.29
MCRB,58.1,51.2,0.32,67.99,3.21
MCRI,71.64,53.96,0.64,18.73,0.97
MCS,94.66,74.19,1.99,46.45,1.28
MCTY,36.25,48.15,0.92,92.5,3.54
MCY,92.64,30.23,1.34,41.75,3.27
MD,92.27,70.41,0.6,14.11,2.52
MDB,53.26,38.87,0.07,52.06,2.61
MDC,26.32,29.5,0.26,73.39,3.52
MDCA,82.5,30.16,0.94,78.99,1.79
MDGL,14.41,98.06,1.08,29.55,3.99
MDGS,50.28,19.41,0.36,81.78,2.72
MDH,12.42,45.85,1.7,98.79,0.78
MDIA,66.48,99.93,0.92,52.99,3.57
MDJH,59.07,13.03,1.71,76.64,0.32
MDLA,48.87,38.1,1.35,75.33,2.85
MDLY,33.51,60.97,0.78,69.64,1.94
MDLZ,42.68,70.13,1.36,35.77,3.8
MDNA,95.96,66.59,0.89,44.63,2.66
MDP,56.02,17.91,1.4,25.95,1.21
MDRR,11.82,36.42,0.04,41.3,2.63
MDRX,26.26,57.73,0.59,85.14,0.08
MDT,12.01,86.51,1.07,13.46,1.05
MDU,19.76,21.16,1.15,23.79,0.63
MDVL,84.06,33.06,0.39,74.11,2.89
MDWD,29.42,82.09,0.26,15.4,2.29
MDWT,50.31,27.73,0.28,45.62,1.61
MDXG,26.11,98.96,1.87,37.9,0.6
MDXL,16.44,30.28,1.76,25.22,2.98
MEAC,39.84,30.09,1.61,28.05,2.62
MEC,42.54,93.58,0.32,48.28,1.36
MED,94.94,47.09,1.12,91.07,0.21
MEDP,81.15,42.13,0.25,75.07,0.29
MEDS,29.81,90.23,1.99,16.28,0.77
MEG,14.65,50.12,1.05,47.12,2.73
MEI,46.32,38.78,1.78,19.6,3.66
MEIP,84.51,31.33,0.68,93.51,0.57
MELI,56.82,30.25,1.67,98.16,1.21
MENB,84.85,92.05,1.01,29.35,0.51
MEOH,44.17,20.49,0.84,92.4,3.23
MERC,30.43,56.92,0.84,92.89,3.07
MESA,14.61,73.99,0.68,47.45,1.42
MESO,82.82,37.06,0.03,97.83,1.65
MET,59.14,79.47,0.06,51.38,2.52
METC,55.26,29.24,0.75,39.01,2.98
METX,93.09,13.28,0.06,74.36,0.37
MFA,72.08,82.61,1.14,18.67,2.32
MFC,57.82,19.06,0.1,69.97,2.78
MFCO,42.9,30.01,1.12,36.04,1.65
MFG,60.94,32.91,1.9,32.33,1.99
MFGP,54.76,88.17,1.5,85.23,3.41
MFH,64.63,97.62,0.13,21.33,3.46
MFIN,25.94,56.88,1.27,27.96,3.38
MFNC,19.21,21.5,0.82,59.6,2.46
MG,40.28,89.07,1.44,98.77,0.99
MGA,26.57,53.92,0.44,50.89,1.4
MGEE,33.14,76.65,1.83,14.89,2.34
MGI,53.1,44.26,1.47,51.32,3.97
MGIC,98.73,31.05,1.13,85.06,1.35
MGLN,31.56,89.29,1.1,93.32,3.23
MGM,21.17,54.23,1.22,20.96,1.14
MGNI,79.48,48.87,1.41,71.07,3.77
MGNX,38.81,32.28,0.69,82.8,3.37
MGP,74.67,17.77,1.86,80.44,3.94
MGPI,80.15,89.04,1.94,20.03,1.35
MGRC,82.82,65.28,0.81,46.63,1.45
MGTA,70.72,16.89,1.36,46.71,3.13
MGTI,32.81,69.9,1,57.27,3.82
MGTX,63.55,18.71,1.27,98.65,2.47
MGY,44.92,19.93,1.27,57.54,0.91
MGYR,84.3,13.25,0.12,77.09,3.93
MHH,90.12,89.21,0.48,30.71,0.02
MHK,90.29,98.46,0.62,31.08,2.79
MHLD,89.91,48.57,0.54,11.47,0.3
MHO,84.49,40.63,0.34,26.09,3.42
MHTX,48.19,75.13,0.91,69.6,0.57
MHVYF,66.39,79.86,1.06,61.72,3.26
MIC,10.89,99.17,0.17,93.87,0.45
MICR,25.26,73.32,1.3,10.49,2.23
MICT,71.37,55.68,0.11,26.37,2.13
MIDD,77.61,57.06,1.51,38.58,0.92
MILE,13.31,94.6,0,13.74,2.83
MIME,75.33,60.75,0.25,91.46,3.07
MIND,10.92,57.02,1.05,56.93,3.3
MINM,91.35,19.01,1.35,54.73,3.49
MIRM,98.58,24.08,1.79,52.55,3.5
MIST,43.82,48.87,0.54,79.9,2.05
MIT,44.21,43.79,0.58,66.2,3.04
MITA,31.17,86.86,1.64,80.03,3.42
MITC,14.05,68.77,1.64,39.61,0.15
MITK,24.68,65.43,0.62,42.41,0.8
MITO,10.72,82.27,0.12,74.67,1.51
MITQ,60.15,19.84,0.65,82.11,2.07
MITSY,62.87,72.81,1.56,92.16,1.44
MITT,63.22,66.55,0.13,38,3.39
MIXT,77.99,90.53,0.24,59.8,2.26
MKC,63.13,84.33,0.81,14.49,0.71
MKC.V,76,87.19,1.43,65.85,1.69
MKD,77.75,62.13,0.39,36.09,2.08
MKGI,33.69,61.32,1.74,38.14,3.48
MKL,74.18,20.18,1.44,36.03,1.58
MKSI,84.75,72.91,0.2,17.34,2.27
MKTAY,84.85,36.33,1.58,34.76,1.26
MKTX,67.72,24.65,1.15,43.62,0.81
MKTY,22.62,54.27,0.46,33.51,2.27
MLAB,72.09,55.28,1.69,68.32,2.44
MLAC,38.85,21.91,1.01,48.67,3.65
MLCO,88.06,88.64,1.09,93.25,0.79
MLHR,39.62,43.5,0.7,68.62,0.63
MLI,76.68,67.38,1.24,49.58,2.77
MLM,64.33,97.9,0.97,14.65,3.65
MLND,61.62,99.45,0.92,54.78,1.71
MLNK,54.18,61.44,1.97,76.17,0.96
MLP,80.24,20.12,0.29,12.39,0.16
MLR,93.33,81.48,1.03,21.54,2.96
MLSS,99.07,79.01,0.15,27.3,0.63
MLVF,39.76,70.03,0.19,44.55,0.76
MLXA,36.58,63.28,0.58,57.98,1.84
MMAC,83.51,86.16,1.53,41.77,2.36
MMC,82.53,53.73,1.48,28.44,0.6
MMI,43.29,81.07,1.55,82.72,1.27
MMLP,14.85,64.39,1.9,26.19,1.02
MMM,31.59,74.6,1.96,93.96,3.87
MMMB,89.49,29.94,0.85,69.5,3.01
MMP,19.51,15.73,0.46,76.95,0.58
MMS,79.79,14.04,1.27,41.37,3.26
MMSI,71.65,32.22,0.98,37.86,1.12
MMTIF,67.72,22.45,1.42,17.33,2.29
MMX,42.09,50.48,0.79,59.8,1.56
MMYT,31.12,29.34,1.4,24.68,3.72
MN,90.3,96.57,0.02,18.47,0.92
MNDO,80.85,48.71,1.65,14.74,1.44
MNKD,47.53,22.11,1.71,30.7,0.93
MNKKQ,14.94,69.91,1.89,34.42,1.63
MNMD,16.29,43.08,1.75,49.35,1.07
MNOV,17.39,57.31,1.72,68.04,3.49
MNPR,27.94,67.95,1.6,59.03,2.01
MNR,99.77,81.01,1.04,24.87,1.33
MNRL,42.58,36.1,0.36,27.81,3.99
MNRO,50.09,32.87,1.64,88.19,3.42
MNSB,56.72,23.82,1.73,26.45,3.35
MNSO,74.18,84.19,0.43,31.91,2.87
MNST,56.93,85.6,1.17,31.93,2.6
MNTK,20.77,52.46,1.74,88.28,1.43
MNTX,10.01,14.8,1.42,60.8,1.7
MO,67.14,61.27,0.86,83.8,0.85
MOD,64.32,11.09,0.53,19.7,2.36
MODN,85.28,35.59,0.82,86.27,2.35
MODV,90.49,25.7,0.04,36.77,0.95
MOFG,29.5,96.88,1.93,34.95,1.75
MOG.A,83.5,37.34,0.72,75.12,0.35
MOG.B,91.24,31.85,0.32,39.55,3.44
MOGO,52.98,26.28,1.31,35.39,2.9
MOGU,11.32,94.63,1.47,72.65,3.31
MOH,96.49,16.92,1.61,66.95,3.17
MOHO,43.61,81.36,1.36,74.61,3.03
MOJO,88.85,89.77,0.9,66.48,2.14
MOLN,33.88,95.24,1.35,81.42,2.37
MOMO,53.73,60.24,1.62,38.5,2.45
MON,62.1,86.4,1.9,25.96,0.83
MOOS,30.96,28.81,0.54,19.06,2.35
MOR,55.8,53.07,1.47,70.02,2.45
MORF,37.34,18.24,0.05,53.67,1.34
MORN,57.37,27.17,1.14,16,3.32
MOS,54.76,71.92,0.53,30.81,0.68
MOSY,19.77,24.51,0.79,98.53,1.97
MOTN,16.74,41.12,0.12,16.28,0.46
MOTS,64.56,92.89,0.74,17.01,2.02
MOTV,23.79,56.67,1.1,38.16,2.74
MOV,57.06,91.17,0.64,25.32,2.55
MOVE,93.99,50.71,0.17,85.97,2.46
MOXC,69.22,68.86,1.3,94.78,1.94
MP,72.64,91.32,1.26,11.99,2.06
MPAA,95.86,76.22,0.26,36.91,2.06
MPAC,32.68,85.16,0.84,22.28,3.53
MPAD,71.5,52.21,1.27,47.95,1.2
MPB,63.54,73.86,1.32,63.56,1.19
MPC,55.05,98.92,0.4,28.93,1.07
MPLN,89.03,12.88,0.35,55.92,0.35
MPLX,12.55,88.73,1.77,51.91,1.31
MPW,86.22,22.29,1,22.47,1.56
MPWR,94.6,85.46,1.52,22.6,1.3
MPX,15.12,67.88,0.13,15.91,3.88
MQ,75.29,47.23,1.57,34.14,0.21
MRAC,73.31,19.45,1.65,31.43,1.4
MRAM,66.05,49.56,1.79,76.67,2.58
MRBK,50.63,22.31,0.55,87.28,1.47
MRC,19.46,57.71,0.68,41.62,3.88
MRCC,61.96,96.28,0.47,58.31,0.21
MRCY,35.89,95.87,1.22,50.82,1.95
MREO,48.25,78.71,0.1,53.54,1.96
MRIN,83.85,75.69,1.86,68.24,1.05
MRK,23.36,22.11,0.12,17.21,0.65
MRKR,60.76,26.36,1,28.72,2.27
MRLN,55.28,90.41,0.39,34.83,3.22
MRM,56.23,66.05,0.2,47.01,3.39
MRMD,72.71,46.11,1.8,11.34,0.55
MRNA,10,80.81,0.54,74.33,0.29
MRNS,81.27,77.43,1.03,39.38,3.36
MRO,80.99,24.35,1.68,51.79,1.8
MRSN,18.49,70.66,1.17,73.58,0.98
MRTN,19.36,62.72,0.8,56.72,2.43
MRTX,44.6,34.81,1.94,13.47,2.57
MRUS,22.25,55.4,0.99,77.65,1.81
MRVI,38.78,75.03,1.6,68.38,3.09
MRVL,34.55,40.52,1.3,78.13,1.84
MS,49.63,84.84,1.97,75.21,3.14
MSA,62.98,92.16,1.05,28.72,0.49
MSAC,65.1,64.99,1.67,55.38,2.72
MSB,97.4,65.02,1.38,69.06,2.84
MSBHF,74.51,29.81,0.86,70.43,3.13
MSBI,90.09,85.33,0.86,11.56,1.44
MSC,54.56,73.01,1.6,41.16,3.13
MSCI,98.06,49.34,0.38,76.12,3.2
